id,title,department,description,requiredSkills,preferredSkills,timeCommitment,duration,learningOutcomes,mentorAvailable,remote,level,applicationDeadline,startDate,submittedBy,leader,jobLevel,jobFamily,jobProfile,plIc,tenure,location,dayZero,lossImpact,attritionRisk,attritionResponse,previousPerformanceRatings,rotationLevel,rotationLength
1,"Enterprise Architecture Initiative","Software Engineering","Lead enterprise-wide software architecture initiatives leveraging cloud computing, microservices, and DevOps practices while mentoring senior engineering teams.","Software Engineering,Technical Excellence,People Leadership,Enterprise Architecture,Cloud Computing,DevOps","Microservices,API Design,Database Design,Security,System Design,Mentoring","75% of current role","Permanent","Enterprise Architecture,Technical Leadership,Executive Presence",true,true,"Sr. Director","2024-10-15","2024-11-01","Sarah Chen","Reports to 4 (CTO)","L7","Software Engineering","Principal Architect","PL","5+ years","Remote",false,"High","Low","Enthusiasically look to retain","Outstanding,Exceptional","Executive","Permanent"
2,"AI Research Lab Leadership","Data Science","Spearhead cutting-edge machine learning research projects developing next-generation AI models with focus on computer vision, NLP, and MLOps.","Machine Learning,AI,Python,Statistics,Deep Learning,TensorFlow,PyTorch","Computer Vision,NLP,MLOps,Research Methods,Big Data,Hadoop,Spark","80% of current role","Permanent","Advanced ML Research,AI Innovation,Technical Leadership",true,true,"Principal","2024-10-20","2024-11-15","Maria Garcia","Reports to 4 (CTO)","L6","Data Science","Senior ML Engineer","IC","3+ years","Remote",false,"High","Low","Enthusiasically look to retain","Exceeds,Outstanding","Cross-functional","Permanent"
3,"Strategic Finance Transformation","Finance","Drive strategic financial planning initiatives and lead cross-functional operations optimization leveraging advanced financial modeling and business operations expertise.","Financial Modeling,Strategic Planning,People Leadership,P&L Management,Business Operations","Executive Presence,Financial Analysis,Budgeting,Forecasting,Risk Management","85% of current role","Permanent","Strategic Finance,Operations Leadership,Executive Development",true,false,"Director","2024-10-10","2024-11-01","Patricia Johnson","Reports to 3 (CFO)","L7","Finance","Finance Director","PL","7+ years","On-site",false,"High","Low","Enthusiasically look to retain","Outstanding,Exceptional","Executive","Permanent"
4,"Design Systems Innovation Hub","Design","Lead comprehensive design strategy across all product lines establishing enterprise design systems with focus on UI/UX, mobile design, and user research.","Design Strategy,Creative Leadership,System Design,Mobile Design,Design Systems","UI/UX Design,Prototyping,Figma,Sketch,User Research,Wireframing","70% of current role","Permanent","Design Leadership,Strategic Design,Innovation Management",true,true,"Principal","2024-10-25","2024-11-10","Maria Rodriguez","Reports to 4 (CTO)","L6","Design","Design Principal","IC","5+ years","Remote",false,"High","Low","Enthusiasically look to retain","Exceeds,Outstanding","Cross-functional","Permanent"
5,"Product Strategy Excellence Program","Product","Develop and implement advanced product management methodologies mentoring high-potential product associates with focus on strategic thinking and user research.","Product Strategy,Mentoring,Strategic Thinking,Product Management,Data Analysis","User Research,Roadmap Planning,Market Research,A/B Testing,Analytics","60% of current role","Permanent","Product Leadership,Strategic Planning,Mentorship Skills",true,true,"Manager","2024-09-30","2024-10-15","Amanda Taylor","Reports to 5","L5","Product","Senior Product Manager","PL","3+ years","Remote",true,"Medium","Low","Hire back for this or other role","Strong,Exceeds","Department","Permanent"
6,"Sales Analytics Optimization Center","Sales","Optimize sales processes and implement advanced analytics to improve sales performance leveraging Salesforce, CRM systems, and business intelligence expertise.","Sales Operations,Data Analysis,Process Optimization,CRM Systems,Analytics","Salesforce,HubSpot,PowerBI,Lead Generation,Pipeline Management","65% of current role","Permanent","Sales Analytics,Process Excellence,Leadership Development",true,true,"Senior Associate","2024-09-25","2024-10-10","Andrew Chen","Reports to 5","L4","Sales","Sales Operations Lead","IC","2+ years","Remote",true,"Medium","Low","Enthusiasically look to retain","Strong,Exceeds","Department","Permanent"
7,"Organizational Development Initiative","HR","Drive organizational development initiatives and implement strategic HR programs for talent development leveraging culture development and change management expertise.","People Leadership,Strategic Planning,Organizational Development,HR Strategy,Culture Development","Change Management,Talent Management,Performance Management,Employee Relations,HRIS","75% of current role","Permanent","HR Leadership,Strategic Development,Organizational Change",true,false,"Director","2024-10-05","2024-10-20","Robert Taylor","Reports to 3 (CHRO)","L7","HR","HR Director","PL","5+ years","On-site",false,"High","Low","Enthusiasically look to retain","Outstanding,Exceptional","Executive","Permanent"
8,"Engineering Leadership Development Track","Engineering","Participate in advanced engineering management program focusing on technical leadership and team development with emphasis on fullstack development and architecture.","Technical Excellence,Team Leadership,Engineering Management,Fullstack Development,Software Development","JavaScript,React,Node.js,Python,Java,Git,CI/CD","50% of current role","Permanent","Technical Leadership,Management Skills,Strategic Thinking",true,true,"Manager","2024-09-20","2024-10-05","Jason Liu","Reports to 5","L5","Engineering","Engineering Manager","PL","2+ years","Remote",true,"Medium","Medium","Hire back for this role","Strong,Strong","Department","Permanent"
9,"Digital Transformation Lab","Operations","Lead innovation initiatives across departments focusing on process optimization and digital transformation leveraging Lean Six Sigma and automation expertise.","Process Optimization,Innovation,Cross-functional Leadership,Digital Transformation,Project Management","Lean,Six Sigma,Business Process Management,Automation,Change Management","80% of current role","Permanent","Innovation Leadership,Digital Strategy,Cross-functional Collaboration",true,false,"Sr. Director","2024-10-15","2024-11-01","Michelle Park","Reports to 3 (COO)","L7","Operations","Operations Director","PL","6+ years","On-site",false,"High","Low","Enthusiasically look to retain","Outstanding,Exceptional","Executive","Permanent"
10,"Advanced Analytics Strategy Center","Data Science","Develop enterprise-wide data strategy and implement advanced analytics solutions for business intelligence leveraging Python, R, and cloud platforms expertise.","Data Science,Analytics,Strategic Planning,Machine Learning,Business Intelligence","Python,R,SQL,Tableau,PowerBI,Big Data,Statistics","70% of current role","Permanent","Data Strategy,Advanced Analytics,Business Intelligence",true,true,"Sr. Manager","2024-10-01","2024-10-15","Robert Martinez","Reports to 4 (CTO)","L6","Data Science","Senior Data Scientist","PL","4+ years","Remote",false,"Medium","Low","Enthusiasically look to retain","Strong,Exceeds","Cross-functional","Permanent"
